Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,28.205000,28.282499,27.552500,27.594999,24.733963,165613600
2015-01-02,27.847500,27.860001,26.837500,27.332500,24.498680,212818400
2015-01-05,27.072500,27.162500,26.352501,26.562500,23.808521,257142000
2015-01-06,26.635000,26.857500,26.157499,26.565001,23.810759,263188400
2015-01-07,26.799999,27.049999,26.674999,26.937500,24.144638,160423600
2015-01-08,27.307501,28.037500,27.174999,27.972500,25.072325,237458000
2015-01-09,28.167500,28.312500,27.552500,28.002501,25.099216,214798000
2015-01-12,28.150000,28.157499,27.200001,27.312500,24.480757,198603200
2015-01-13,27.857500,28.200001,27.227501,27.555000,24.698109,268367600
2015-01-14,27.260000,27.622499,27.125000,27.450001,24.604004,195826400
2015-01-15,27.500000,27.514999,26.665001,26.705000,23.936245,240056000
2015-01-16,26.757500,26.895000,26.299999,26.497499,23.750250,314053200
2015-01-20,26.959999,27.242500,26.625000,27.180000,24.361992,199599600
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.547976,194303600
2015-01-22,27.565001,28.117500,27.430000,28.100000,25.186605,215185600
2015-01-23,28.075001,28.437500,27.882500,28.245001,25.316574,185859200
2015-01-26,28.434999,28.590000,28.200001,28.275000,25.343464,222460000
2015-01-27,28.105000,28.120001,27.257500,27.285000,24.456104,382274800
2015-01-28,29.407499,29.530001,28.827499,28.827499,25.838680,585908400
2015-01-29,29.080000,29.797501,28.889999,29.725000,26.643129,337745600
2015-01-30,29.600000,30.000000,29.212500,29.290001,26.253231,334982000
2015-02-02,29.512501,29.792500,29.020000,29.657499,26.582630,250956400
2015-02-03,29.625000,29.772499,29.402500,29.662500,26.587112,207662800
2015-02-04,29.625000,30.127501,29.577499,29.889999,26.791018,280598800
2015-02-05,30.004999,30.057501,29.812500,29.985001,26.982244,168984800
2015-02-06,30.004999,30.062500,29.612499,29.732500,26.755028,174826400
2015-02-09,29.637501,29.959999,29.607500,29.930000,26.932751,155559200
2015-02-10,30.042500,30.537500,30.040001,30.504999,27.450171,248034000
2015-02-11,30.692499,31.230000,30.625000,31.219999,28.093571,294247200
2015-02-12,31.514999,31.870001,31.392500,31.615000,28.449011,297898000
2015-02-13,31.820000,31.820000,31.412500,31.770000,28.588493,217088800
2015-02-17,31.872499,32.220001,31.730000,31.957500,28.757215,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,28.957434,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,28.896698,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.132900,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,29.920279,283896400
2015-02-24,33.235001,33.400002,32.792500,33.042500,29.733555,276912400
2015-02-25,32.889999,32.900002,32.037498,32.197498,28.973177,298846800
2015-02-26,32.197498,32.717499,31.652500,32.605000,29.339880,365150000
2015-02-27,32.500000,32.642502,32.060001,32.115002,28.898941,248059200
2015-03-02,32.312500,32.570000,32.075001,32.272499,29.040670,192386800
2015-03-03,32.240002,32.380001,32.022499,32.340000,29.101408,151265200
2015-03-04,32.275002,32.389999,32.080002,32.134998,28.916933,126665200
2015-03-05,32.145000,32.187500,31.440001,31.602501,28.437759,226068400
2015-03-06,32.099998,32.342499,31.565001,31.650000,28.480505,291368400
2015-03-09,31.990000,32.392502,31.264999,31.785000,28.601984,354114000
2015-03-10,31.602501,31.805000,30.950001,31.127501,28.010332,275426400
2015-03-11,31.187500,31.192499,30.527500,30.559999,27.499659,275756000
2015-03-12,30.577499,31.225000,30.407499,31.112499,27.996830,193450800
2015-03-13,31.100000,31.350000,30.645000,30.897499,27.803373,207309200
2015-03-16,30.969999,31.237499,30.717501,31.237499,28.109316,143497200
2015-03-17,31.475000,31.830000,31.412500,31.760000,28.579493,204092400
2015-03-18,31.750000,32.290001,31.592501,32.117500,28.901190,261083600
2015-03-19,32.187500,32.312500,31.850000,31.875000,28.682974,183238000
2015-03-20,32.062500,32.099998,31.290001,31.475000,28.323025,274780400
2015-03-23,31.780001,31.962500,31.629999,31.802500,28.617735,150838800
2015-03-24,31.807501,32.009998,31.639999,31.672501,28.500753,131369200
2015-03-25,31.635000,31.705000,30.844999,30.844999,27.756119,206620800
2015-03-26,30.690001,31.219999,30.650000,31.059999,27.949591,190291600
2015-03-27,31.142500,31.174999,30.727501,30.812500,27.726879,158184800
2015-03-30,31.012501,31.600000,31.000000,31.592501,28.428768,188398800
2015-03-31,31.522499,31.622499,31.090000,31.107500,27.992336,168362400
2015-04-01,31.205000,31.280001,30.775000,31.062500,27.951843,162485600
2015-04-02,31.257500,31.389999,31.047501,31.330000,28.192545,128880400
2015-04-06,31.117500,31.877501,31.082500,31.837500,28.649231,148776000
2015-04-07,31.910000,32.029999,31.495001,31.502501,28.347769,140049200
2015-04-08,31.462500,31.600000,31.242500,31.400000,28.255537,149316800
2015-04-09,31.462500,31.645000,31.165001,31.639999,28.471508,129936000
2015-04-10,31.487499,31.802500,31.315001,31.775000,28.592987,160752000
2015-04-13,32.092499,32.142502,31.652500,31.712500,28.536747,145460400
2015-04-14,31.750000,31.822500,31.477501,31.575001,28.413012,102098400
2015-04-15,31.602501,31.782499,31.502501,31.695000,28.521002,115881600
2015-04-16,31.570000,31.775000,31.527500,31.542500,28.383774,113476000
2015-04-17,31.387501,31.535000,31.115000,31.187500,28.064323,207828000
2015-04-20,31.392500,32.029999,31.292500,31.900000,28.705471,188217200
2015-04-21,32.025002,32.049999,31.667500,31.727501,28.550247,129740400
2015-04-22,31.747499,32.217499,31.580000,32.154999,28.934929,150618000
2015-04-23,32.075001,32.605000,32.035000,32.417500,29.171152,183083600
2015-04-24,32.622501,32.657501,32.307499,32.570000,29.308374,178103600
2015-04-27,33.077499,33.282501,32.787498,33.162498,29.841545,387816800
2015-04-28,33.615002,33.634998,32.392502,32.639999,29.371365,475696000
2015-04-29,32.540001,32.897499,32.075001,32.160000,28.939430,253544400
2015-04-30,32.160000,32.160000,31.145000,31.287500,28.154301,332781600
2015-05-01,31.525000,32.532501,31.325001,32.237499,29.009169,234050400
2015-05-04,32.375000,32.642502,32.064999,32.174999,28.952929,203953200
2015-05-05,32.037498,32.112499,31.445000,31.450001,28.300531,197085600
2015-05-06,31.639999,31.687500,30.840000,31.252501,28.122814,288564000
2015-05-07,31.192499,31.520000,31.004999,31.315001,28.296764,175763600
2015-05-08,31.670000,31.905001,31.527500,31.905001,28.829897,222201600
2015-05-11,31.847500,31.889999,31.407499,31.580000,28.536219,168143200
2015-05-12,31.400000,31.719999,31.205000,31.467501,28.434557,192640000
2015-05-13,31.537500,31.797501,31.467501,31.502501,28.466181,138776800
2015-05-14,31.852501,32.237499,31.790001,32.237499,29.130341,180814000
2015-05-15,32.267502,32.372501,32.052502,32.192501,29.089680,152832000
2015-05-18,32.095001,32.680000,32.090000,32.547501,29.410469,203531600
2015-05-19,32.672501,32.720001,32.410000,32.517502,29.383362,178532800
2015-05-20,32.500000,32.744999,32.334999,32.514999,29.381096,145819600
2015-05-21,32.517502,32.907501,32.457500,32.847500,29.681555,158921600
2015-05-22,32.900002,33.242500,32.849998,33.134998,29.941343,182384000
2015-05-26,33.150002,33.227501,32.279999,32.404999,29.281702,282790400
2015-05-27,32.584999,33.064999,32.512501,33.009998,29.828394,183332800
2015-05-28,32.965000,32.987499,32.775002,32.945000,29.769661,122933200
2015-05-29,32.807499,32.862499,32.474998,32.570000,29.430798,203538000
2015-06-01,32.570000,32.847500,32.512501,32.634998,29.489531,128451200
2015-06-02,32.465000,32.665001,32.330002,32.490002,29.358513,134670400
2015-06-03,32.665001,32.735001,32.474998,32.529999,29.394651,123934000
2015-06-04,32.395000,32.645000,32.227501,32.340000,29.222965,153800400
2015-06-05,32.375000,32.422501,32.090000,32.162498,29.062569,142507200
2015-06-08,32.224998,32.302502,31.707500,31.950001,28.870560,210699200
2015-06-09,31.674999,32.020000,31.405001,31.855000,28.784716,224301600
2015-06-10,31.980000,32.334999,31.962500,32.220001,29.114534,156349200
2015-06-11,32.294998,32.544998,32.119999,32.147499,29.049017,141563600
2015-06-12,32.047501,32.082500,31.777500,31.792500,28.728241,147544800
2015-06-15,31.525000,31.809999,31.427500,31.730000,28.671761,175955600
2015-06-16,31.757500,31.962500,31.592501,31.900000,28.825377,125976400
2015-06-17,31.930000,31.969999,31.684999,31.825001,28.757605,131672400
2015-06-18,31.807501,32.077499,31.805000,31.969999,28.888624,141628800
